# Graduate Studies tile destinations, opened 2026-09-14
group	tile	url	status	landed on	page title	page heading	notes
credential	Education Specialist	https://www.csueastbay.edu/cssc/prospective-cred-student/special-education.html	200	https://www.csueastbay.edu/cssc/prospective-cred-student/special-education.html	Education Specialist/Masters in Special Education - Online Program	Education Specialist/Masters in Special Education - Online Program	url shared by 2 tiles
credential	Multi-subject Teaching	https://www.csueastbay.edu/cssc/prospective-cred-student/multiple-subject.html	200	https://www.csueastbay.edu/cssc/prospective-cred-student/multiple-subject.html	Multiple Subject Credential Program	Multiple Subject Credential Program	
credential	Preliminary Administrative Services (PASC)	https://www.csueastbay.edu/el/programs/prelim-admin-services.html	200	https://www.csueastbay.edu/el/programs/prelim-admin-services.html	Preliminary Administrative Services Credential (PASC) /Optional Masters in Educational Leadership	Preliminary Administrative Services Credential (PASC) /Optional Masters in Educational Leadership	
credential	PPS School Counseling	https://www.csueastbay.edu/epsy/graduate-programs/school-counseling.html	200	https://www.csueastbay.edu/epsy/graduate-programs/school-counseling.html	School Counseling	School Counseling	
credential	PPS School Psychology	https://www.csueastbay.edu/school-psychology/prospective-students.html	200	https://www.csueastbay.edu/school-psychology/prospective-students.html	Prospective Students & Application Process	Prospective Students & Application Process	
credential	Single-subject Teaching	https://www.csueastbay.edu/cssc/prospective-cred-student/single-subject.html	200	https://www.csueastbay.edu/cssc/prospective-cred-student/single-subject.html	Single Subject Credential Program	Single Subject Credential Program	
credential	Speech Language Pathology Services	https://www.csueastbay.edu/slhs/masters-in-speech-language-pathology/index.html	200	https://www.csueastbay.edu/slhs/masters-in-speech-language-pathology/index.html	Master's in Speech-Language Pathology	Master's in Speech-Language Pathology	url shared by 2 tiles
certificate	Applied Statistics	https://www.csueastbay.edu/statistics/degrees-programs/index.html	200	https://www.csueastbay.edu/statistics/degrees-programs/index.html	Programs in Statistics and Data Science	Programs in Statistics and Data Science	url shared by 3 tiles
certificate	Biotechnology	https://www.csueastbay.edu/biology/graduate-program/biotechnology-certificate-program-bcp/index.html	200	https://www.csueastbay.edu/biology/graduate-program/biotechnology-certificate-program-bcp/index.html	Prospective and Current BCP Students	Prospective and Current BCP Students	
certificate	Educational Technology	https://catalog.csueastbay.edu/preview_program.php?catoid=39&poid=18263&returnto=36991	202	https://catalog.csueastbay.edu/preview_program.php?catoid=39&poid=18263&returnto=36991			
certificate	Pre-Professional Health Academic Program (PHAP)	https://www.csueastbay.edu/phaprogram/	200	https://www.csueastbay.edu/phaprogram/	Post-Baccalaureate Health Professions Academic Program	Post-Baccalaureate Health Professions Academic Program	
certificate	Mathematics, Single Subject Matter	https://www.csueastbay.edu/math/degrees-and-programs/index.html	200	https://www.csueastbay.edu/math/degrees-and-programs/index.html	CSUEB Math Degrees and Programs	Degrees & Programs	url shared by 2 tiles
certificate	Music Single Subject Matter Preparation	https://www.csueastbay.edu/music/prospective/music-ed.html	200	https://www.csueastbay.edu/music/prospective/music-ed.html	Music Education	Music Education	
certificate	Theoretical Statistics	https://www.csueastbay.edu/statistics/degrees-programs/index.html	200	https://www.csueastbay.edu/statistics/degrees-programs/index.html	Programs in Statistics and Data Science	Programs in Statistics and Data Science	url shared by 3 tiles
