# Program names found on more than one Graduate Studies page, 2026-09-14
program	pages	urls
Interaction Design	6	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2024.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2023.html
Marketing Analytics	6	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/fast-programs.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/graduate-student-ambassadors.html https://www.csueastbay.edu/graduate-studies/fast-program-details.html
Nursing	6	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/graduate-opportunities.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2025.html
Reading and Literacy	6	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/graduate-program-infosessions.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2025.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2024.html
Applied Statistics	5	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/fast-programs.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/fast-program-details.html
Counseling	5	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html https://www.csueastbay.edu/graduate-studies/admitted-grad-students.html https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html
Environmental Geosciences	5	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/fast-programs.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/fast-program-details.html
Special Education	5	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2023.html
Speech-Language Pathology	5	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/graduate-student-ambassadors.html https://www.csueastbay.edu/graduate-studies/graduate-program-infosessions.html
Accountancy	4	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html
Educational Technology	4	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/graduate-student-ambassadors.html
Health Care Administration	4	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/graduate-student-ambassadors.html
Public Administration	4	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2025.html
Administrative Services Credential Clear Induction	3	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html
Biotechnology	3	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html
Early Childhood Education	3	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html
Education Specialist	3	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html
Engineering Management	3	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html
MBA Business Administration	3	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/index.html https://www.csueastbay.edu/graduate-studies/grad-slam-competition.html
Marine Science	3	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html
Music Single Subject Matter Preparation	3	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html
Preliminary Administrative Services (PASC)	3	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html
Speech Language Pathology Services	3	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html
Theoretical Statistics	3	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html https://www.csueastbay.edu/graduate-studies/index.html
Curriculum & Instruction	2	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/index.html
Ed.D. Educational Leadership	2	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/index.html
Hospitality, Recreation, & Tourism	2	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/index.html
Mathematics, Single Subject Matter	2	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/index.html
Multi-subject Teaching	2	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/index.html
PPS School Counseling	2	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/index.html
PPS School Psychology	2	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/index.html
Single-subject Teaching	2	https://www.csueastbay.edu/graduate-studies/ https://www.csueastbay.edu/graduate-studies/index.html
Pre-Professional Health Academic Program (PHAP)	1	https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2024.html
